sku,marca,linea,cilindraje,segmento,precio_lista,puntos_venta_disponibles,unidades_disponibles
SKU-001,Honda,CB 125F Twister,125,Trabajo,7990000,PV-001|PV-003|PV-006|PV-007|PV-008|PV-009|PV-010|PV-011|PV-015,10
SKU-002,Honda,XR 150L,150,Doble propósito,11490000,PV-002|PV-004|PV-012|PV-015,18
SKU-003,Honda,CB 190R,184,Deportiva,13990000,PV-001|PV-004|PV-005|PV-008|PV-012|PV-014|PV-015,10
SKU-004,Honda,Navi,110,Scooter,7290000,PV-002|PV-008|PV-012,12
SKU-005,Honda,Dio 110,110,Scooter,6890000,PV-001|PV-002|PV-003|PV-004|PV-006|PV-008|PV-009|PV-010|PV-012|PV-013|PV-014,15
SKU-006,Honda,XRE 300,291,Doble propósito,22900000,PV-002|PV-003|PV-004|PV-007|PV-008|PV-009|PV-012|PV-013|PV-014|PV-015,2
SKU-007,Bajaj,Boxer CT 100,100,Trabajo,5790000,PV-004|PV-006|PV-007|PV-009|PV-010|PV-012|PV-013|PV-014|PV-015,18
SKU-008,Bajaj,Pulsar NS 125,124,Deportiva,8990000,PV-001|PV-004|PV-005|PV-006|PV-007|PV-008|PV-009,14
SKU-009,Bajaj,Pulsar NS 160,160,Deportiva,11290000,PV-006|PV-010|PV-013|PV-014,15
SKU-010,Bajaj,Pulsar RS 200,199,Deportiva,15490000,PV-002|PV-004|PV-006|PV-010|PV-014,21
SKU-011,Bajaj,Dominar 400,373,Turismo,24900000,PV-003|PV-007|PV-009|PV-015,11
SKU-012,Bajaj,Discover 125,124,Trabajo,6990000,PV-001|PV-002|PV-003|PV-004|PV-005|PV-007|PV-010|PV-011|PV-012|PV-013,6
SKU-013,Suzuki,GN 125,124,Trabajo,7490000,PV-001|PV-003|PV-005|PV-006|PV-007|PV-008|PV-009|PV-010|PV-012|PV-014|PV-015,20
SKU-014,Suzuki,Gixxer 150,155,Deportiva,11990000,PV-001|PV-002|PV-003|PV-005|PV-006|PV-007|PV-009|PV-012|PV-015,5
SKU-015,Suzuki,V-Strom 250,249,Turismo,21900000,PV-001|PV-003|PV-005|PV-006|PV-007|PV-008|PV-010|PV-012|PV-014,19
SKU-016,Suzuki,Best 125,125,Scooter,6590000,PV-001|PV-003|PV-004|PV-005|PV-006|PV-007|PV-009|PV-010|PV-012|PV-013|PV-014,14
SKU-017,AKT,NKD 125,125,Trabajo,5290000,PV-002|PV-003|PV-004|PV-005|PV-006|PV-007|PV-008|PV-012|PV-013|PV-014,24
SKU-018,AKT,Dynamic R3 125,125,Trabajo,5590000,PV-005|PV-006|PV-013,12
SKU-019,AKT,TTR 200,196,Doble propósito,9890000,PV-003|PV-005|PV-007|PV-008|PV-009|PV-010|PV-015,21
SKU-020,AKT,Evo RS 150,150,Deportiva,7190000,PV-001|PV-004|PV-005|PV-006|PV-007|PV-009|PV-010|PV-011|PV-012|PV-013|PV-015,3
SKU-021,Hero,Eco Deluxe 100,100,Trabajo,4990000,PV-001|PV-005|PV-006|PV-007|PV-010|PV-011,17
SKU-022,Hero,Hunk 160R,163,Deportiva,10490000,PV-001|PV-003|PV-004|PV-005|PV-006|PV-007|PV-008|PV-009|PV-011|PV-013|PV-015,11
SKU-023,Hero,Xpulse 200,199,Doble propósito,14990000,PV-004|PV-010|PV-012|PV-013|PV-014,16
SKU-024,Hero,Dash 110,110,Scooter,6290000,PV-001|PV-006|PV-009,12
