lead_id,fecha_registro,canal,empresa_id,punto_venta_id,modelo_cotizado,precio_lista,horas_al_primer_contacto,numero_contactos,manifesto_cuota_inicial,forma_pago_declarada,pidio_cita,desenlace
HX-00001,2026-04-07,WhatsApp,EMP-03,PV-013,Bajaj Pulsar RS 200,15490000,8,4,NO_INFORMA,no_informa,NO,Perdido
HX-00002,2026-03-18,Meta Ads,EMP-02,PV-008,Hero Xpulse 200,14990000,1,3,NO,credito,NO,Perdido
HX-00003,2026-05-07,WhatsApp,EMP-02,PV-007,Honda Dio 110,6890000,48,3,NO_INFORMA,credito,NO,Perdido
HX-00004,2026-05-23,WhatsApp,EMP-02,PV-008,Hero Hunk 160R,10490000,8,1,NO_INFORMA,contado,NO,Perdido
HX-00005,2026-05-28,WhatsApp,EMP-01,PV-005,Hero Dash 110,6290000,0.5,6,NO_INFORMA,credito,SI,Perdido
HX-00006,2026-06-07,WhatsApp,EMP-01,PV-004,Hero Hunk 160R,10490000,72,3,NO,credito,SI,Perdido
HX-00007,2026-04-09,Formulario Web,EMP-02,PV-006,AKT NKD 125,5290000,120,6,NO_INFORMA,credito,NO,Perdido
HX-00008,2026-07-09,Formulario Web,EMP-03,PV-014,Hero Xpulse 200,14990000,2,4,NO_INFORMA,credito,NO,Perdido
HX-00009,2026-04-26,WhatsApp,EMP-01,PV-003,Honda XR 150L,11490000,2,7,SI,credito,NO,Perdido
HX-00010,2026-06-17,WhatsApp,EMP-02,PV-010,Suzuki V-Strom 250,21900000,0.5,4,NO,credito,NO,Perdido
HX-00011,2026-07-11,Meta Ads,EMP-03,PV-011,AKT NKD 125,5290000,48,7,NO,credito,SI,Perdido
HX-00012,2026-07-18,Meta Ads,EMP-01,PV-001,Honda Dio 110,6890000,2,2,SI,credito,SI,Perdido
HX-00013,2026-04-25,WhatsApp,EMP-02,PV-010,AKT NKD 125,5290000,8,4,NO_INFORMA,credito,SI,Perdido
HX-00014,2026-05-07,WhatsApp,EMP-02,PV-008,Bajaj Pulsar NS 160,11290000,8,6,NO_INFORMA,credito,NO,Perdido
HX-00015,2026-03-28,WhatsApp,EMP-02,PV-007,Bajaj Discover 125,6990000,48,6,NO_INFORMA,credito,SI,Cerrado
HX-00016,2026-06-15,WhatsApp,EMP-02,PV-008,AKT NKD 125,5290000,48,1,NO_INFORMA,credito,NO,Perdido
HX-00017,2026-04-28,Formulario Web,EMP-02,PV-006,AKT TTR 200,9890000,2,6,SI,contado,NO,Perdido
HX-00018,2026-06-12,WhatsApp,EMP-01,PV-003,AKT Dynamic R3 125,5590000,72,4,NO_INFORMA,credito,NO,Perdido
HX-00019,2026-04-25,Formulario Web,EMP-01,PV-001,Bajaj Boxer CT 100,5790000,24,6,NO_INFORMA,credito,NO,Perdido
HX-00020,2026-04-26,Meta Ads,EMP-01,PV-005,Honda CB 190R,13990000,4,1,NO,credito,SI,Perdido
HX-00021,2026-06-17,Meta Ads,EMP-01,PV-003,Bajaj Dominar 400,24900000,24,4,SI,credito,SI,Perdido
